1. ['搬家公司', '「多谢惠顾！那我们就先告辞啦！」']
2. ['嘉祥', '「……呼，这样行李就差不多都到了吧。」']
3. ['None', '目送小货车离去之后，']
4. ['None', '我伸手擦了擦额头上的汗水。']
5. ['None', '虽说现在还是刚进入四月的初春时期，']
6. ['None', '但今天的天气可以说是热得有些过头了。']
7. ['嘉祥', '「不过，倒是个适合开张的好天气。」']
8. ['None', '我回头看向还没挂上看板跟任何装饰的店面。']
9. ['None', '以白与茶色为基底，刚筑好没多久的全新洋风外墙、']
10. ['None', '采光良好的大型玻璃窗、']
11. ['None', '以及玻璃窗上的店名──『La Soleil』。']
12. ['None', '冠词是『LA』而不是『LE』的『Soleil（太阳）』']
13. ['None', '我抬头看著这个和我作为目标的那个人一样的店名']
14. ['嘉祥', '「……今天开始得靠自己努力才行了。」']
15. ['None', '我像是在帮自己打气似地喃喃自语道。']
16. ['None', '从今以后，再也没有人会对我的理想说三道四。']
17. ['None', '家里的名声、还有至今以来发生的所有一切，也都跟我不再有任何关联。']
18. ['None', '今后该怎么走，都必须靠我自己做出抉择。']
19. ['None', '虽然自由，但相对的也没办法将过错推到其他人身上。']
20. ['None', '不过。']
21. ['None', '虽然心里还留著些许不安，']
22. ['None', '但随之而来的，是更多对未来的期待。我感到自己的嘴角上扬了起来。']
23. ['嘉祥', '「……好。」']
24. ['嘉祥', '「总之先把堆在店里的大量行李整理一下吧。」']
25. ['None', '做了一个深呼吸之后，我重新鼓起干劲，']
26. ['None', '走进了充满全新气息的店里。']
27. ['嘉祥', '「……嗯？这么大的纸箱是哪来的……？」']
28. ['None', '我才踏进店门口，面前的特大号纸箱马上就挡住了我的去路。']
29. ['None', '而且还有两个。']
30. ['None', '『易碎！』『精密仪器！』']
31. ['None', '『绝对禁止倒置！』『摔到就诅咒贵公司倒闭！』']
32. ['None', '上面的大量警告标语给我一种不好的预感。']
33. ['嘉祥', '「是店里要用的设备吗？可是我不记得有买过这么大的东西啊……」']
34. ['None', '从老家带过来的行李顶多只有几个纸箱的量，']
35. ['None', '就算是为了开店而采买的设备，自己买了这么大一箱东西总不可能忘记吧。']
36. ['None', '更别说上面除了满满的警告贴纸以外，']
37. ['None', '完全找不到宅配单的影子了。']
38. ['嘉祥', '「……想太多也没用，总之打开来看看就知道了──」']
39. ['纸箱', '「哈啾!!」']
40. ['嘉祥', '「咦……!?」']
41. ['纸箱', '「…………」']
42. ['嘉祥', '「…………」']
43. ['纸箱', '「喵、喵～……？」']
44. ['嘉祥', '「…………」']
45. ['纸箱', '「…………」']
46. ['嘉祥', '「原来是猫啊。真是的，害我白白吓一跳。」']
47. ['纸箱', '「呼……看来是顺利过关了。」']
48. ['纸箱', '「好险好险，接下来得小心点才行……」']
49. ['嘉祥', '「别以为这样就可以蒙混过去！妳在干嘛啊，巧克力！」']
50. ['巧克力', '「欸嘿嘿……那个，好、好久不见了呢，主人……」']
51. ['嘉祥', '「昨天才在家里见过面不是吗。」']
52. ['巧克力', '「这个……话是这么说没错啦……啊哈哈……」']
53. ['巧克力', '「别管这个了，主人你听人家说啦！那群搬家公司的人真的很过份耶!!」']
54. ['巧克力', '「你知道他们在搬巧克力的时候说了什么吗!?」']
55. ['巧克力', '「他们居然说『这箱很重,要小心搬』！」']
56. ['巧克力', '「害巧克力差点没在箱子怒吼出来！」']
57. ['巧克力', '「人家实在是气到不行的说！只是拼命忍住没有爆发而已！」']
58. ['嘉祥', '「跟我的行李比起来，当然是妳比较重啊……」']
59. ['None', '只见巧克力鼓著脸颊不断抱怨，']
60. ['None', '我的事情似乎已经完全被她抛到九霄云外去了。']
61. ['None', '真不知道该说她还是老样子不会想太多，']
62. ['None', '还是该说她永远只看得见眼前的事呢？']
63. ['None', '……不过，这点倒是挺有巧克力的风格就是。']
64. ['嘉祥', '「难怪我在整理行李的时候一直没看到妳的人影──」']
65. ['纸箱2', '「哈啾!!」']
66. ['纸箱2', '「…………」']
67. ['嘉祥', '「…………喂。」']
68. ['香草', '「好久不见了，主人。」']
69. ['香草', '「搬家公司的货车里面灰尘实在太多，害我鼻子一直痒个不停。」']
