1. ['巧克力', '「哇～！主人，主人!!」']
2. ['巧克力', '「你看你看～!!!」']
3. ['巧克力', '「哇啊啊～！好棒的制服！好可爱唷～!!」']
4. ['巧克力', '「巧克力现在超感谢主人的～♪」']
5. ['香草', '「巧克力穿起制服超可爱……！把裙子掀起来看看嘛！」']
6. ['巧克力', '「这样吗？嘿、嘿♪」']
7. ['香草', '「啊，主人正在用色色的眼光偷瞄巧克力。」']
8. ['巧克力', '「呀～主人好色喔♪」']
9. ['嘉祥', '「少胡扯了。」']
10. ['None', '一面试穿著刚送来的制服，两只猫娘就这么一搭一唱地玩了开来。']
11. ['None', '只见她们俩一下转过来、一下转过去的，实在不知道在忙些什么。']
12. ['巧克力', '「主人！巧克力穿起店里的制服来好看吗？」']
13. ['嘉祥', '「嗯，很不错啊。」']
14. ['嘉祥', '「虽然是临时找来的，不过合适就好。」']
15. ['香草', '「嗯，嗯，太好了太好了。虽然是我选的就是了。」']
16. ['嘉祥', '「香草穿起制服来也挺有模有样的呢。以后也要麻烦妳多帮忙啰？」']
17. ['香草', '「……我尽量。」']
18. ['巧克力', '「哇～被主人称赞了耶～♪」']
19. ['巧克力', '「香草～！明天开始我们要一起努力当看板猫娘喔～！」']
20. ['香草', '「既然主人都准备得那么周到了，那我就稍微努力一下吧。」']
21. ['巧克力', '「真不坦率～♪」']
22. ['巧克力', '「来嘛来嘛～香草也来杀必死一下啊～♪」']
23. ['香草', '「喵……！我才不是那么水性杨花的猫娘、啊、等、巧克力……！」']
24. ['香草', '「不、不可以这样……喵!?」']
25. ['香草', '「那、那边不是裙子……喵、喵啊啊啊啊!?」']
26. ['嘉祥', '「咱们家的猫娘今天也很有精神呢～」']
27. ['None', '我就这么一面看著两只猫娘闹得不亦乐乎，一面动手擦著眼前的托盘跟餐具。']
28. ['嘉祥', '「……明天终于就是开张日了。」']
29. ['None', '蛋糕要用到的原料已经都放进冰柜，准备放在店里装饰用的观叶植物也通通都送来了。']
30. ['None', '……原本以为说出口以后多少能得到一点现实感，结果当然是没这么简单。']
31. ['嘉祥', '「虽然花了不少时间才走到这个地步……」']
32. ['None', '我伸手拿起今天早上才送到的宣传小卡。']
33. ['巧克力', '「喵喵!?主人，那是什么那是什么──!?」']
34. ['香草', '「喔喔～这该不会就是传说中的宣传小卡吧？」']
35. ['巧克力', '「主人，主人你看！上面连这家店的地址和电话号码都有写耶！」']
36. ['香草', '「店铺情报全都泄漏光光了。」']
37. ['香草', '「近来社会上可是越来越重视对个人情报的保护措施，主人你实在太没有危机感了。」']
38. ['嘉祥', '「这才是名片本来的用途吧。」']
39. ['None', '连什么保护个人情报之类的偏颇知识都知道了，怎么会不知道什么是宣传小卡呢？']
40. ['None', '不过，要是有什么奇怪厂商看到小卡找上门来推销，的确会让人有点困扰就是。']
41. ['巧克力', '「太棒了，太棒了主人！」']
42. ['巧克力', '「既然有这么棒的小卡，客人一定会天天爆满哟♪」']
43. ['嘉祥', '「嗯，可以那么顺利的话就太好了呢。」']
44. ['None', '看见巧克力开心得像是自己的梦实现一般，我不禁摸了摸她的头。']
45. ['None', '看她高兴成这副德性，连我也开始觉得前途会一帆风顺了。']
46. ['None', '……像这种时候，有人待在身边的安心感就是不同──']
47. ['None', '我不禁这么想著。']
48. ['香草', '「…………（盯～）」']
49. ['嘉祥', '「怎么了，香草？」']
50. ['香草', '「这个，可以给我一张吗？」']
51. ['嘉祥', '「可以是可以……」']
52. ['None', '真稀奇，没想到香草会想要这种东西。']
53. ['None', '原来猫娘也有“纪念品”的观念吗？']
54. ['None', '不过，反正我小卡订了几百张，让她们拿几张去其实没什么大不了的。']
55. ['巧克力', '「主人──！还有巧克力，巧克力也想要！」']
56. ['嘉祥', '「啊啊，当然没问题。反正还有很多，想要多少尽管拿吧。」']
57. ['嘉祥', '「……嗯？啊！等等，不可以全部拿走！」']
58. ['嘉祥', '「我说的“想要多少尽管拿”不是那个意思！」']
59. ['None', '看著打算把整盒小卡拿走的巧克力，']
60. ['None', '我不禁觉得日文真是种困难的语言。']
61. ['巧克力', '「…………（盯～）」']
62. ['香草', '「…………（盯～）」']
63. ['巧克力', '「…………喵！（猫拳）」']
