1. ['巧克力', '「谢谢惠顾～♪欢迎再度光临！」']
2. ['None', '巧克「欢迎光临！这是我们的菜单，推荐商品可以参考这边的看板喔～♪」']
3. ['香草', '「让您久等了，这是当季水果千层派跟巧克力蒙布朗。」']
4. ['巧克力', '「啊，要内用的话请往这边走～♪这是我们的菜单！」']
5. ['香草', '「结帐请往这边走。需要帮您放保冷剂吗？」']
6. ['嘉祥', '「……好了。要不要趁现在多烤点海绵蛋糕备用呢？」']
7. ['None', '我隔著窗户察看了一下店里的情形，人潮似乎已经稍微安定下来了。']
8. ['None', '墙上时钟的时针正要指向三点。']
9. ['None', '……没想到，开店那天的30分钟完售事件反而让Soleil的评价大大提升，']
10. ['None', '甚至还有人把这件事贴上部落格跟Dwitter，想当然我们隔天立刻开始忙得不可开交。']
11. ['None', '虽说是偶然间的产物，不过这次还真的是托了时雨的福呢。']
12. ['巧克力', '「主人！水果蛋糕存量不多了！啊，还有泡芙也是！」']
13. ['嘉祥', '「了解。等我一下，我马上作新的。」']
14. ['香草', '「主人，刚刚有客人来订生日蛋糕，订单我放在这里了。」']
15. ['嘉祥', '「知道了，我待会再看。」']
16. ['嘉祥', '「话说回来，我还真想不到巧克力跟香草居然那么有本事呢。」']
17. ['None', '看著她们俩努力招呼客人的背影，我不禁喃喃自语。']
18. ['None', '元气十足的巧克力，以及待客细心的香草。']
19. ['None', '这两只看板猫娘的存在，其实对Soleil的评价也有著不小的贡献。']
20. ['None', '虽然一开始我完全没有对她们俩抱著期待，不过这可真是帮了我一个大忙。']
21. ['嘉祥', '「……啊，休息时间快到了呢。」']
22. ['嘉祥', '「这里应该也差不多好了吧？」']
23. ['None', '轻轻活动一下脖子后，我便走向冰库取出接下来要用的材料。']
24. ['嘉祥', '「来，妳们两个都辛苦了。」']
25. ['巧克力＆香草', '「喔喔喔────！！这、这是……！！」\n「喔喔喔喔──……！这、这个是……！！」']
26. ['巧克力', '「主、主人！这该不会就是传说中的起司蛋糕……！？」']
27. ['香草', '「而且还是千层、千层起士蛋糕喔，巧克力……！妳看表面好光滑……！」']
28. ['嘉祥', '「这是为了奖励妳们的努力呀。」']
29. ['巧克力', '「主人……！所以这是特别为了巧克力跟香草准备的千层起士蛋糕吗！」']
30. ['香草', '「主人真是太温柔了……！这就是劳动的喜悦……！」']
31. ['None', '只见两只猫娘开心地盯著桌上的千层起司蛋糕。']
32. ['None', '能看到她们高兴的模样，我的劳力也就不算白费了。']
33. ['None', '我坐上自己的位子，将热水倒进红茶壶里。']
34. ['巧克力', '「香草！巧克力好想把这份感动分享给时雨知道喔！」']
35. ['香草', '「可惜我们没有手机……」']
36. ['巧克力', '「对喔，这样就没办法寄照片给时雨了……」']
37. ['香草', '「这就是没有手机跟数位相机的心酸之处……」']
38. ['巧克力', '「对了！既然没有相机，那就用素描的吧！我们可以把这份感动留在画纸上啊！」']
39. ['香草', '「所以主人，麻烦你把我跟巧克力现在的模样画下来，而且越快越好。」']
