1. ['巧克力', '「主人，外送的东西准备好了～！麻烦主人确认一下！」']
2. ['嘉祥', '「了解。妳先等我一下喔。」']
3. ['嘉祥', '「我看看，奶油、起司、水果各两个……」']
4. ['巧克力', '「（坐立不安）」']
5. ['嘉祥', '「法式、千层派、蒙布朗……」']
6. ['巧克力', '「（心神不宁）」']
7. ['嘉祥', '「嗯，跟订单一样没有错。」']
8. ['巧克力', '「耶～！那可以要奖赏吗！人家想要主人摸头！！」']
9. ['嘉祥', '「好好好。（摸头）」']
10. ['嘉祥', '「路上要小心车子跟行人喔。」']
11. ['巧克力', '「那人家出门啰～！」']
12. ['巧克力', '「不过，主人你是不是忘了一件事？」']
13. ['嘉祥', '「嗯？还有什么事吗──」']
14. ['巧克力', '「出门前的，啾♪」']
15. ['嘉祥', '「巧、巧克力……！？」']
16. ['巧克力', '「欸嘿嘿♪主人害羞的样子真可爱～♪」']
17. ['嘉祥', '「『真可爱～♪』个头啦！我们现在是在店里耶……！」']
18. ['巧克力', '「因为巧克力是主人的最佳拍挡兼猫娘情人呀♪」']
19. ['巧克力', '「那，巧克力路上会小心的～！」']
20. ['嘉祥', '「啊，巧克力……！」']
21. ['嘉祥', '「…………」']
22. ['None', '女性客人Ａ「嘿～原来巧克力是店长的猫娘情人啊？」']
23. ['嘉祥', '「咦？啊，这个嘛……」']
24. ['嘉祥', '「该怎么说呢，那个……没错……」']
25. ['None', '女性客人Ｂ「天天跟那么坦率又可爱的猫娘在一起工作，是谁都会被迷上啦。啊哈哈～」']
26. ['嘉祥', '「这、这个……不好意思，饶了我吧……」']
27. ['None', '女性客人Ａ「啊哈哈，有什么好害羞的嘛～」']
28. ['None', '女性客人Ａ「这年头把猫娘当成人生伴侣的人又不稀奇。」']
29. ['None', '女性客Ｂ「看她的反应，你们应该是最近才当上情人的吧？」']
30. ['嘉祥', '「抱歉，我对这种话题不是很拿手……」']
31. ['None', '女性客人Ａ「没想到店长也会害羞成这样啊～♪」']
32. ['None', '女性客人Ｂ「不然我再续一杯红茶，跟我们讲讲你们的事嘛～♪」']
33. ['嘉祥', '「不好意思，我还有工作……」']
34. ['香草', '「（盯～）」']
35. ['嘉祥', '「……呼，总算是肯回去了。」']
36. ['None', '送走刚刚的客人后，我总算是松了一口气。']
37. ['None', '……老实说，我实在拿这种恋爱话题很没辙。']
38. ['None', '毕竟我从小就一直埋头于制作和菓子上，']
39. ['None', '所以一遇到这种情况就会变得不知道该怎么反应。']
40. ['香草', '「主人，帐算完了，麻烦你检查一下。」']
41. ['嘉祥', '「好，我知道了。谢谢妳啰。」']
42. ['香草', '「（盯～）」']
43. ['嘉祥', '「……妳在生什么气啊，香草？」']
44. ['香草', '「才没有。会觉得我在生气，一定是因为主人你知道自己做了什么会惹我生气的事。」']
45. ['嘉祥', '「就是不知道才会问妳啊。」']
46. ['嘉祥', '「啊，该不会是肚子饿的缘故？」']
47. ['嘉祥', '「这样的话妳就拿个蛋糕进去吃吧。」']
48. ['香草', '「主人你把我当成什么了？又不是巧克力。」']
49. ['嘉祥', '「妳又把巧克力当成什么了……」']
50. ['None', '巧克力才不会因为肚子饿就生气。']
51. ['None', '顶多只是拼命对我大叫『肚子饿了──！』而已。']
52. ['香草', '「硬要说的话，就是因为主人刚刚露出一副色瞇瞇模样的缘故。鼻子底下伸得长长的。」']
53. ['嘉祥', '「别随便栽赃。我什么时候露出过色瞇瞇的模样了。」']
54. ['香草', '「巧克力不过是出门外送一下而已，主人的手脚未免也太快了吧。真叫人大意不得。」']
55. ['香草', '「居然以为睡过一次就可以得到我们的一切，」']
56. ['香草', '「没想到主人居然会是这种大色狼蛋糕师傅。哼。」']
57. ['None', '只见香草双手抱在胸前，不知道在愤慨什么。']
58. ['None', '而且，大色狼蛋糕师傅这称呼……']
59. ['None', '未免也太饶舌了点吧？']
60. ['香草', '「再说主人你已经有我们两只猫娘了，怎么可以在店里泡妞呢。」']
61. ['嘉祥', '「知道了知道了。总之我没有在泡妞，妳可以放一百个心。」']
62. ['嘉祥', '「再说我根本就不会应付那种场合啊。」']
63. ['香草', '「从主人的口气里我感觉不到诚意。零分。」']
64. ['嘉祥', '「就说是误会了嘛。别生气了好不好？」']
65. ['香草', '「才没有。连时雨都称赞我是只冷静的猫娘。」']
