1. ['巧克力', '「喵～好高！好高喔主人！喵哈哈哈哈──！」']
2. ['香草', '「『人好像垃圾一样』这句话真是个不错的比喻呢。你说是吧，主人？」']
3. ['嘉祥', '「……是……是啊……」']
4. ['巧克力', '「怎么了主人？干嘛青著一张脸？」']
5. ['香草', '「脸色青得跟番薯一样呢。」']
6. ['嘉祥', '「是……是吗……？或许、吧……」']
7. ['巧克力', '「哎呀～？如果是平常的主人，不是早就吐槽香草『番薯才不是青色！』了吗？」']
8. ['香草', '「现在的主人真是一点也不配合，简单来说就是很无趣。」']
9. ['嘉祥', '「等等，这不是无不无趣的问题啦……」']
10. ['None', '我们三个现在正位于百景岛海上乐园招牌游乐设施『蓝色大怒神』的顶端附近。']
11. ['None', '四周可见的只有天空、天空、还有天空。']
12. ['None', '唯一能信赖的地面现在离我好远。']
13. ['None', '『国内最高，来自107公尺高空的未知落下体验！』这句宣传词还真是一点不假。']
14. ['None', '虽说我是在她们俩千拜托万拜托之下才不得已跟著坐上来，']
15. ['None', '不过我总觉得自己现在身处于本世纪最大的生命危机当中。']
16. ['嘉祥', '「倒是妳们两个……为什么看起来一点也不紧张……？」']
17. ['巧克力', '「咦？为什么要紧张？这么高不是很心旷神怡吗～♪」']
18. ['香草', '「猫咪爬到越高的地方就会越兴奋。」']
19. ['香草', '「也就是说我们现在的兴奋度有107公尺那么高。」']
20. ['嘉祥', '「只不过是因为妳们刚好喜欢高的地方吧……？」']
21. ['None', '现在的我根本没有余力去在意笨蛋跟烟雾喜欢哪里，']
22. ['None', '只能在高度不断上升的恐怖中不停发抖而已。']
23. ['None', '然后，原本以为会永远持续下去的无情马达声──']
24. ['None', '──就这么停了下来。']
25. ['广播', '「……3，2，1」']
26. ['广播', '「拜拜～♪」']
27. ['嘉祥', '「啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！！」']
28. ['巧克力＆香草', '「喵───────────────♪♪♪」']
29. ['嘉祥', '「呜喔啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！！」']
30. ['巧克力＆香草', '「喵─────────────────────────────♪♪♪」']
31. ['嘉祥', '「咿啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊──────！！！」']
32. ['巧克力', '「啊哈哈哈哈哈主人的脸好奇怪哈哈哈啊哈哈啊哈哈哈────♪♪♪」']
33. ['香草', '「主人居然哭著惨叫啊哈哈哈哈啊哈哈哈哈啊啊啊啊啊啊啊啊────♪♪♪」']
34. ['巧克力', '「嘿嗬～！嘿嗬～！喵哈哈哈哈哈～♪」']
35. ['巧克力', '「一直闪、一直闪的好好玩喔～喵哈哈哈哈～♪」']
36. ['香草', '「嘿嗬～嘿嗬～没想到还挺有趣的呢。」']
37. ['香草', '「这个单调的上下运动意外会让人上瘾……♪」']
38. ['巧克力', '「主人，你怎么了？」']
39. ['香草', '「该不会连这点速度都受不了吧？」']
40. ['嘉祥', '「没有啦，只是觉得都这把年纪了还来坐这个……好像有点丢脸……」']
41. ['巧克力', '「咿呀啊啊啊啊啊主人────！！」']
42. ['巧克力', '「会、会会会会会被杀，会被杀掉啦＠＃＄％︿＆＊！！」']
43. ['嘉祥', '「冷静点！这些都是假的，杀不了人啦！」']
44. ['香草', '「猫咪在陷入极度恐惧的时候身体会动弹不得……」']
45. ['香草', '「还有，猫娘最重要的尊严跟其它某些东西好像也快漏出来了……！」']
46. ['嘉祥', '「给我等一下！紧急出口就在那边而已，拜托妳先忍忍好吗！！」']
47. ['香草', '「香草到最后都是只勇敢的猫娘……请主人这么转告时雨……！呜！！」']
48. ['嘉祥', '「刚刚那声『呜』是怎么回事！？别那么快就放弃啊！！喂，香草！！」']
49. ['巧克力', '「喵～！喵～！主人！再来去坐那个！我们去坐那个会转的！！」']
50. ['香草', '「喵～喵～那个看起来很快的也不错。刚才那个自由落体我也想再去坐一次。」']
51. ['嘉祥', '「拜托……让我休息一下好吗，我是说……真的……」']
52. ['None', '我摇摇晃晃地走向长椅，一屁股摊坐在上面。']
53. ['None', '没想到游乐园居然会是这么刺激的地方……']
54. ['巧克力', '「主人，今天可是难得的约会耶。不觉得这样很没出息吗～？」']
55. ['香草', '「没错没错。难得大家特地休息一天出来玩的说。」']
56. ['嘉祥', '「我知道啦，不过是稍微休息一下而已嘛。」']
57. ['巧克力', '「伤脑筋，真拿主人没办法耶～」']
58. ['巧克力', '「不过巧克力是只善解人意的猫娘，所以就原谅主人吧♪」']
59. ['香草', '「其实我只要有巧克力在就好，不过这次就特别等一下主人好了。」']
60. ['巧克力', '「真是的～香草就是这么不坦率。」']
61. ['巧克力', '「早上明明还跟人家一起打扮老半天的说～对不对对不对～♪」']
62. ['香草', '「才没有。是因为这件衣服我第一次穿，所以有点搞不清楚该怎么穿而已。」']
63. ['None', '香草开始抵抗起巧克力的手指攻击。']
64. ['None', '真像是香草会找的借口呢。']
65. ['None', '至于香草在家里尾巴一直翘得半天高的事，我看就先别提了吧。']
66. ['None', '附带一提，根据巧克力指出，因为裙子会翻起来的缘故，所以香草打从出门开始似乎就一直忍著不让尾巴往上翘。']
67. ['None', '虽然我这个人类完全搞不懂这种事忍不忍得住就是了。']
68. ['嘉祥', '「新衣服很适合妳们两个喔。」']
69. ['巧克力', '「哇～真的吗？太好了♪」']
70. ['巧克力', '「时雨知道主人要带我们去游乐园玩以后，就送了我们这两件衣服喔！」']
71. ['香草', '「我也很喜欢时雨送的衣服，所以主人的称赞让我有一点点高兴。」']
72. ['None', '巧克力和香草在原地转了个圈，把背后的模样也现给我看。']
73. ['None', '两人的白色洋装在阳光下显得十分耀眼。']
74. ['None', '比起平时稍微花俏一点的服装带给人一种特别为了今天而选的感觉，令人感到十分可爱。']
75. ['None', '……可惜我没有勇气把这句话说出口就是了。']
76. ['嘉祥', '「真的，很适合妳们。」']
77. ['None', '我对两人再一次简洁地道出感想。']
78. ['巧克力', '「喵～♪被主人称赞可爱好开心喵♪」']
79. ['巧克力', '「香草？香草也很开心对吧？嘿嘿嘿～♪」']
80. ['香草', '「……嗯，多少啦。」']
81. ['巧克力', '「喵～♪瞧妳害羞的～戳脸颊戳脸颊～♪」']
82. ['None', '只见两只猫娘又开始玩成一团。']
