1. ['时雨', '「……看来是过劳呢。总之哥哥您还是先安静休养一阵子吧。」']
2. ['时雨', '「我是听说哥哥身体出问题才连忙赶过来的，结果……」']
3. ['时雨', '「真是的，哥哥您到底在搞什么啊？」']
4. ['None', '坐在床铺旁的时雨大大叹了一口气。']
5. ['巧克力', '「过劳是什么意思？」']
6. ['时雨', '「正式名称叫作慢性疲劳症候群，」']
7. ['时雨', '「简单来说就是一种疲劳到达极限的状态。」']
8. ['香草', '「可是主人昨天明明还很有精神……」']
9. ['时雨', '「据说人在过度疲劳下反而会搞不清楚自己疲劳的程度喔。」']
10. ['巧克力', '「……累过头反而会变得有精神的意思吗？」']
11. ['香草', '「也就是说……」']
12. ['巧克力', '「…………（脸红）」']
13. ['香草', '「…………（脸红）」']
14. ['嘉祥', '「……话说在前头，事情绝对不是妳们想像的那样好吧？」']
15. ['巧克力', '「主、主人以为我们在想像什么！？」']
16. ['香草', '「我觉得问题应该在害人误解的人身上……！」']
17. ['时雨', '「好了好了。哥哥在床上的表现我待会再听妳们说，」']
18. ['时雨', '「总之还是先去一趟医院做个检查比较好。」']
19. ['嘉祥', '「等等，妳刚刚说什么？」']
20. ['时雨', '「我是说哥哥我爱你，还有请你像平常那样对我倾诉爱意呀。呵呵呵。」']
21. ['香草', '「时雨的袖子里掉出一片鲔鱼肚！」']
22. ['巧克力', '「鲔鱼肚！看起来超鲔鱼肚的喵！」']
23. ['时雨', '「哎呀我真不小心。不好意思喔（收）」']
24. ['嘉祥', '「妳拿鲔鱼肚来打算做什么？」']
25. ['None', '摆明了就是有备而来……！']
26. ['None', '倒是她身后那两只口水流不停的猫娘也已经准备好要享用大餐了。']
27. ['None', '啧……看来还是瞒不过时雨吗……！']
28. ['时雨', '「说认真的，根据症状有恐怕有需要请哥哥入院喔。」']
29. ['时雨', '「连体力正值巅峰期的年轻人都有可能失去会自然恢复的机能，这就是慢性疲劳可怕的地方。」']
30. ['嘉祥', '「不过就是稍微爬不起来而已，未免也太夸张了吧。」']
31. ['嘉祥', '「我可不打算因为稍微站不稳就关店休息，」']
32. ['嘉祥', '「现在可是业绩刚要开始成长的重要时期──」']
33. ['时雨', '「要是哥哥您再这么铁齿，到时不要说开不了店了，严重一点还有可能致死喔？」']
34. ['巧克力＆香草', '「咦咦！？会死掉吗！？」']
35. ['时雨', '「一旦哥哥死了就表示这家店必须面临永远关门的命运，还是说您觉得这样比较好？」']
36. ['巧克力', '「主人你不要死！绝对不可以死啦！！」']
37. ['香草', '「这么年轻就当上未亡猫也未免太寂寞了……！主人你可不能死啊……！！」']
38. ['None', '……不好，时雨的怒气很明显已经到达顶点了。']
39. ['None', '就过去的经验来看，每当时雨笑著生气的时候就代表她是认真的。']
40. ['None', '当然，我相信猫娘们刚刚那席话也是认真的。']
41. ['嘉祥', '「……妳有的时候会说出很不得了的话来呢。」']
42. ['时雨', '「我只不过是在陈述客观事实而已。」']
43. ['时雨', '「不过您不用担心，送走哥哥以后我也会跟著一起自尽的。」']
44. ['None', '这么说的同时，时雨脸上依旧不改平时的笑容。']
45. ['嘉祥', '「……就算是开玩笑，也不要讲这种话啦。」']
46. ['时雨', '「现在您知道我们是抱著什么心情在担心您了吧？」']
47. ['嘉祥', '「…………嗯。」']
48. ['时雨', '「那么，哥哥现在愿意好好休息了吗？」']
49. ['时雨', '「还是说，您比较想被强迫送上救护车？」']
50. ['None', '见我语气含糊，时雨干脆直接把脸凑上来问道。']
51. ['None', '……妳的笑容给我很大的压力啊。']
52. ['None', '看来是没有别的选择了。']
53. ['嘉祥', '「……知道啦，我乖乖休息就是了。」']
54. ['嘉祥', '「我可不想真的去住院。」']
55. ['时雨', '「很好。我最喜欢听话的哥哥了。」']
56. ['时雨', '「不过，不听话的哥哥好像也不错呢。（脸红）」']
57. ['嘉祥', '「我不是说我会乖乖休息了吗……」']
58. ['None', '听完我的回答，时雨满足地点了点头。']
59. ['None', '我看还是别告诉她我只打算休息一天比较好。']
60. ['None', '……是说现在这样也没办法好好工作就是了。']
61. ['巧克力', '「主人，要不要紧？」']
62. ['香草', '「主人，还好吗……？」']
63. ['嘉祥', '「啊啊，没事没事。没什么大不了的啦。」']
64. ['巧克力', '「真的吗……呼、呼哇啊啊啊啊～～～～」']
65. ['香草', '「没事就好……呼、呼啊啊啊～～～～」']
66. ['巧克力', '「不、不是啦！？这是猫的习性呼啊啊啊啊～～～」']
67. ['香草', '「猫咪会在主人难受的时候伸懒腰或打呵欠好让主人放松呼哇啊啊啊啊～～～～」']
68. ['嘉祥', '「……其实病情没有刚刚说的那么严重，妳们可以不用太在意啦。」']
69. ['None', '两人不断打呵欠的模样看来十分可笑。']
70. ['None', '说是会让人放松，其实好像还真有那么点效果。']
71. ['None', '虽然连紧张感都一起烟消云散了就是。']
72. ['时雨', '「那么巧克力、香草，就麻烦妳们关店了。」']
73. ['巧克力', '「好～！交给我们吧呼啊啊～～～～」']
74. ['香草', '「我们早就习惯做这些事了呼啊啊啊啊啊～～～～」']
75. ['时雨', '「猫的习性还真是有趣呢。」']
76. ['嘉祥', '「实际住在一起以后，很容易就能体会到猫娘其实骨子里还是猫呢。」']
77. ['时雨', '「天哪，居然说什么住在一起，真是太露骨了。（脸红）」']
78. ['嘉祥', '「别闹了。」']
79. ['时雨', '「哎呀，已经连吐槽的精神都没有了吗？在很多意义上。」']
80. ['嘉祥', '「我说真的，别闹了。」']
81. ['None', '时雨」「这也是我对哥哥的爱呀。」']
82. ['None', '她表现爱情的方式还是一样叫人搞不懂。']
83. ['None', '虽然她从懂事开始就一直都是这种个性就是了。']
84. ['时雨', '「好了，玩笑就开到这吧。」']
85. ['时雨', '「为什么哥哥要勉强自己到这种地步？」']
86. ['时雨', '「您应该是最清楚自己身体状况的人才对啊。」']
87. ['嘉祥', '「……刚刚妳不也说过，人在疲劳到极点的时候反而察觉不到自己的疲劳吗？」']
88. ['时雨', '「早在事情变成这样以前，您应该早就已经发现了吧？请不要跟我打迷糊仗。」']
89. ['None', '时雨重新端正好坐姿，用极其认真的眼神看著我。']
90. ['None', '空白的时间不断在我们之间流过，但时雨就只是一动也不动地盯著我看而已。']
91. ['None', '见到她这个样子，我不得不乖乖叹口气认输。']
92. ['嘉祥', '「我只是觉得自己必须再更努力点罢了。」']
93. ['None', '我躺回枕头上，看著天花板说道。']
94. ['嘉祥', '「之前和巧克力和香草出去约会的时候，」']
95. ['嘉祥', '「那时我突然觉得，」']
96. ['嘉祥', '「她们两个对我来说已经不只是宠物，而是家人、与情人。」']
97. ['嘉祥', '「而这家店毕竟是我任性下的产物，所以我不想在这方面给她们太多负担。」']
98. ['时雨', '「但要是因此累倒的话不就本末倒置了吗？」']
99. ['嘉祥', '「还不是多亏时雨，让来店人潮多到超出我的意料之外呢。」']
100. ['时雨', '「哎呀，您再说什么我听不懂耶。」']
101. ['None', '见到我没有再继续追究下去，']
102. ['None', '时雨只是对我轻轻笑了笑。']
103. ['None', '我想，要是时雨有正面回答我的意愿，应该老早就把一切宣传手法都告诉我了吧。']
104. ['None', '这点她倒是从以前就一直没变过。']
105. ['时雨', '「我不是不知道哥哥想说什么，」']
