1. ['嘉祥', '「……很好。」']
2. ['嘉祥', '「既然身体已经回复了，今天开始得要好好加油──」']
3. ['嘉祥', '「…………嗯？」']
4. ['嘉祥', '「咦……？咦咦……？」']
5. ['嘉祥', '「这……这是……怎么回事……？」']
6. ['红豆', '「好吃！超好吃的这个！」']
7. ['红豆', '「我本来还觉得西式蛋糕没什么大不了，没想到还不错嘛！（大吃特吃）」']
8. ['枫', '「我说红豆，妳的吃相真的很难看耶。」']
9. ['枫', '「又没人会抢妳的蛋糕，拜托妳稍微优雅一点好不好。」']
10. ['枫', '「难得一杯好红茶都被妳搞难喝了啦。」']
11. ['桂', '「跟巧克力还有香草一样的制服♪」']
12. ['桂', '「好可爱～好开心～♪椰子也穿得跟我们一样耶～」']
13. ['椰子', '「啊呜……那个，像我这样的猫娘……好像不太适合打扮成这样……」']
14. ['椰子', '「这种衣服应该比较适合个头娇小又可爱的猫娘吧……啊呜呜呜……」']
15. ['时雨', '「没那回事。只要素材够好，不管穿什么衣服都合适。」']
16. ['时雨', '「椰子可是我一向引以为傲的猫娘，不表现得大方点怎么行。」']
17. ['桂', '「就是说啊～难得椰子长得那么高又那么帅气～♪」']
18. ['None', '」【椰子】「呜呜……我就是不喜欢现在这个样子嘛……要是能长得可爱点就好了喵……」']
19. ['巧克力', '「蛋糕还有很多哟～♪」']
20. ['巧克力', '「这是巧克力跟主人第一次共同作业的成果～我们作了很多，大家尽管吃～♪」']
21. ['香草', '「红茶也有很多种可以选。」']
22. ['香草', '「由于种类多到人记不起来，所以我做了张一览表。要点红茶的话麻烦照表上的数字点。」']
23. ['嘉祥', '「…………咦？怎么回事？现在这是怎样？」']
24. ['None', '我的店不知道什么时候变成了一间猫娘咖啡厅。']
25. ['None', '由于一大早就看见意料之外的景象，害得我现在脑袋有点转不过来。']
26. ['时雨', '「早安啊，哥哥。」']
27. ['时雨', '「经过这次事件以后，我想了很多。」']
28. ['None', '时雨用十分爽朗的笑容说道。']
29. ['None', '不仅如此，连猫娘们也用相同的笑容望著我。']
30. ['None', '我感到脸上流下一道冷汗，']
31. ['嘉祥', '「呃……妳说想了很多，是指……？」']
32. ['None', '同时好不容易才挤出这句话来。']
33. ['时雨', '「经过这次事件，我总算了解到要哥哥不要勉强身体是不可能的一件事。」']
34. ['时雨', '「但是，哥哥您那天让身为妹妹的我担心得连觉都睡不好也是事实。」']
35. ['时雨', '「所以，我认为只有增加店里的人手才是减轻哥哥负担最好的办法。」']
36. ['嘉祥', '「……………唉。」']
37. ['嘉祥', '「就算要增派人手，妳知道这家店现在是什么状况吗……？」']
38. ['时雨', '「尽管放一百个心吧，哥哥。」']
39. ['时雨', '「只要是为了哥哥，我可以不要任何薪水。」']
40. ['嘉祥', '「等等，等等。」']
41. ['嘉祥', '「门限也就算了，妳平常不是还要上学吗……」']
42. ['时雨', '「是啊。所以不只我一个人，家里的猫娘也全都愿意帮忙喔。」']
43. ['None', '说完，时雨回头看向身后的猫娘们。']
44. ['椰子', '「只要是为了嘉祥主人，时雨主人的一切吩咐我都会照办。」']
45. ['枫', '「真拿你们没办法耶。既然要我们帮忙，时雨不出点零用钱应该说不过去吧？」']
46. ['红豆', '「啧。虽然麻烦，不过谁叫家猫就是吃人嘴软呢。」']
47. ['桂', '「我只要有嘉祥作的美味蛋糕跟红茶就满足了♪」']
48. ['时雨', '「所有人都是拥有带铃资格的即战力，哥哥应该没有意见吧？」']
49. ['None', '身穿Soleil制服的猫娘们也都纷纷点头同意。']
50. ['None', '看来事情已经大致底定了，']
51. ['None', '也就是说这里似乎没有我反驳的余地。']
52. ['嘉祥', '「不是，妳们先等等……」']
53. ['巧克力', '「欢迎大家～！身为前辈，很高兴大家可以加入哟～♪」']
54. ['香草', '「这样一来又能跟大家在一起了，真高兴。这样才像一家人嘛。」']
55. ['时雨', '「啊啊，没想到我居然有一天能够跟哥哥站在一起做蛋糕……！」']
56. ['时雨', '「时雨真是，时雨真是全银河第一幸福的妹妹了……！」']
57. ['桂', '「太好了呢，时雨♪」']
58. ['桂', '「不过今天可是难得的大好日子，不适合流眼泪喔～？来，手帕给妳～」']
59. ['椰子', '「呜呜，看到时雨主人这么高兴，连我也跟著高兴起来了……！」']
60. ['椰子', '「太好了，太好了时雨主人……真的是太好了……！」']
61. ['红豆', '「要是拿到指名率第一的话，应该会有特别奖金吧？」']
62. ['红豆', '「嘿～这样一来我不就每天都有奖金拿，还可以用奖金大啖鲔鱼肚了吗！太棒啦！」']
63. ['枫', '「红豆又在说傻话了。」']
64. ['枫', '「在我面前居然敢妄想指名率第一？啊哈哈～」']
65. ['嘉祥', '「我们这家店没有指名制度啦……」']
66. ['None', '话题就这么无视于我（店长）的意愿不断进展，']
67. ['None', '或者应该说，结论早就已经出来了。']
68. ['None', '虽然说这样的确能帮上我不少忙没错啦……']
69. ['时雨', '「好了好了，开店时间已经快到啰～？大家都准备好了吗？」']
70. ['一同', '「喔──♪」']
71. ['嘉祥', '「……哎，算了。」']
72. ['None', '就这样，']
73. ['None', '日后被称为『猫娘乐园』的蛋糕店『La Soleil』，']
74. ['None', '在今天踏出了新的一步──']
